"Verb" "Condition" "Type" "Version" "Text" "File"
"zarking" "Path" "train2" "past" "The monster zarked up to the snowman." "zarking_path_past_snowman.wav"
"zarking" "Path" "train3" "future" "The monster is going to zark up to the monkey." "zarking_path_future_monkey.wav"
"zarking" "Path" "train3" "past" "The monster zarked up to the monkey." "zarking_path_past_monkey.wav"
"zarking" "Path" "question1" "which one" "Which one is zarking?" "which_zarking.wav"
"zarking" "Path" "question2" "let's find" "Let's find zarking." "letsfindzarking.wav"
"molking" "Path" "ambig" "future" "The monster is going to molk around the penguin." "molking_path_future_penguin.wav"
"molking" "Path" "ambig" "past" "The monster molked around the penguin." "molking_path_past_penguin.wav"
"molking" "Path" "train1" "future" "The monster is going to molk around the spaceship." "molking_path_future_spaceship.wav"
"molking" "Path" "train1" "past" "The monster molked around the spaceship." "molking_path_past_spaceship.wav"
"molking" "Path" "train2" "future" "The monster is going to molk around the fountain." "molking_path_future_fountain.wav"
"molking" "Path" "train2" "past" "The monster molked around the fountain." "molking_path_past_fountain.wav"
"molking" "Path" "train3" "future" "The monster is going to molk around the drum." "molking_path_future_drum.wav"
"molking" "Path" "train3" "past" "The monster molked around the drum." "molking_path_past_drum.wav"
"molking" "Path" "question1" "which one" "Which one is molking?" "which_molking.wav"
"molking" "Path" "question2" "let's find" "Let's find molking." "letsfindmolking.wav"
"torging" "Path" "ambig" "future" "The monster is going to torg between the trees." "torging_path_future_trees.wav"
"torging" "Path" "ambig" "past" "The monster torged between the trees." "torging_path_past_trees.wav"
"torging" "Path" "train1" "future" "The monster is going to torg between the mailboxes." "torging_path_future_mailboxes.wav"
"torging" "Path" "train1" "past" "The monster torged between the mailboxes." "torging_path_past_mailboxes.wav"
"torging" "Path" "train2" "future" "The monster is going to torg between the seesaws." "torging_path_future_seesaws.wav"
"torging" "Path" "train2" "past" "The monster torged between the seesaws." "torging_path_past_seesaws.wav"
"torging" "Path" "train3" "future" "The monster is going to torg between the snowmen." "torging_path_future_snowmen.wav"
"torging" "Path" "train3" "past" "The monster torged between the snowmen." "torging_path_past_snowmen.wav"
"torging" "Path" "question1" "which one" "Which one is torging?" "which_torging.wav"
"torging" "Path" "question2" "let's find" "Let's find torging." "letsfindtorging.wav"
"pimming" "Path" "ambig" "future" "The monster is going to pim through the flowers." "pimming_path_future_flowers.wav"
"pimming" "Path" "ambig" "past" "The monster pimmed through the flowers." "pimming_path_past_flowers.wav"
"pimming" "Path" "train1" "future" "The monster is going to pim through the tunnel." "pimming_path_future_tunnel.wav"
"pimming" "Path" "train1" "past" "The monster pimmed through the tunnel." "pimming_path_past_tunnel.wav"
"pimming" "Path" "train2" "future" "The monster is going to pim through the tree." "pimming_path_future_trees.wav"
"pimming" "Path" "train2" "past" "The monster pimmed through the tree." "pimming_path_past_trees.wav"
"pimming" "Path" "train3" "future" "The monster is going to pim through the waterfall." "pimming_path_future_waterfall.wav"
"pimming" "Path" "train3" "past" "The monster pimmed through the waterfall." "pimming_path_past_waterfall.wav"
"pimming" "Path" "question1" "which one" "Which one is pimming?" "which_pimming.wav"
"pimming" "Path" "question2" "let's find" "Let's find pimming." "letsfindpimming.wav"
"birking" "Path" "ambig" "future" "The monster is going to birk over the cone." "birking_path_future_cone.wav"
"birking" "Path" "ambig" "past" "The monster birked over the cone." "birking_path_past_cone.wav"
"birking" "Path" "train1" "future" "The monster is going to birk over the book." "birking_path_future_book.wav"
"birking" "Path" "train1" "past" "The monster birked over the book." "birking_path_past_book.wav"
"birking" "Path" "train2" "future" "The monster is going to birk over the tires." "birking_path_future_tires.wav"
"birking" "Path" "train2" "past" "The monster birked over the tires." "birking_path_past_tires.wav"
"birking" "Path" "train3" "future" "The monster is going to birk over the mountain." "birking_path_future_mountain.wav"
"birking" "Path" "train3" "past" "The monster birked over the mountain." "birking_path_past_mountain.wav"
"birking" "Path" "question1" "which one" "Which one is birking?" "which_birking.wav"
"birking" "Path" "question2" "let's find" "Let's find birking." "letsfindbirking.wav"
"dacking" "Path" "ambig" "future" "The monster is going to dack in front of the elephant." "dacking_path_future_elephant.wav"
"dacking" "Path" "ambig" "past" "The monster dacked in front of the elephant." "dacking_path_past_elephant.wav"
"dacking" "Path" "train1" "future" "The monster is going to dack in front of the penguin." "dacking_path_future_penguin.wav"
"dacking" "Path" "train1" "past" "The monster dacked in front of the penguin." "dacking_path_past_penguin.wav"
"dacking" "Path" "train2" "future" "The monster is going to dack in front of the bench." "dacking_path_future_bench.wav"
"dacking" "Path" "train2" "past" "The monster dacked in front of the bench." "dacking_path_past_bench.wav"
"dacking" "Path" "train3" "future" "The monster is going to dack in front of the bell." "dacking_path_future_bell.wav"
"dacking" "Path" "train3" "past" "The monster dacked in front of the bell." "dacking_path_past_bell.wav"
"dacking" "Path" "question1" "which one" "Which one is dacking?" "which_dacking.wav"
"dacking" "Path" "question2" "let's find" "Let's find dacking." "letsfinddacking.wav"
